R&D Spend,Administration,Marketing Spend,Profit,Predicted Profit
165349.2,136897.8,471784.1,192261.83,192261.8299999993
162597.7,151377.59,443898.53,191792.06,191792.05999999953
153441.51,101145.55,407934.54,191050.39,191050.39000000036
144372.41,118671.85,383199.62,182901.99,182901.98999999947
142107.34,91391.77,366168.42,166187.94,172137.87706666652
131876.9,99814.71,362861.36,156991.12,156991.12000000005
134615.46,147198.87,127716.82,156122.51,156122.51000000033
130298.13,145530.06,323876.68,155752.6,155752.6000000002
120542.52,148718.95,311613.29,152211.77,152211.76999999964
123334.88,108679.17,304981.62,149759.96,149759.96000000054
101913.08,110594.11,229160.95,146121.95,146121.9499999996
100671.96,91790.61,249744.55,144259.4,144259.39999999988
93863.75,127320.38,249839.44,141585.52,132258.8272666665
91992.39,135495.07,252664.93,134307.35,128553.53579999985
119943.24,156547.42,256512.92,132602.65,132602.64999999997
114523.61,122616.84,261776.23,129917.04,129917.0399999995
78013.11,121597.55,264346.06,126992.93,126992.9299999998
94657.16,145077.58,282574.31,125370.37,128117.62459999991
91749.16,114175.79,294919.57,124266.9,124266.9000000001
86419.7,153514.11,0.0,122776.86,114634.67379999993
76253.86,113867.3,298664.47,118474.03,118474.02999999978
78389.47,153773.43,299737.29,111313.02,111313.01999999967
73994.56,122782.75,303319.26,110352.25,110352.25
67532.53,105751.03,304768.73,108733.99,108733.99000000018
77044.01,99281.34,140574.81,108552.04,108552.03999999957
64664.71,139553.16,137962.62,107404.34,101958.57280000018
75328.87,144135.98,134050.07,105733.54,109238.1976666665
72107.6,127864.55,353183.81,105008.31,105008.31000000014
66051.52,182645.56,118148.2,103282.38,103282.38000000032
65605.48,153032.06,107138.38,101004.64,101004.64000000019
61994.48,115641.28,91131.24,99937.59,99727.36473333344
61136.38,152701.92,88218.23,97483.56,97483.56000000011
63408.86,129219.61,46085.25,97427.84,97977.56753333347
55493.95,103057.49,214634.81,96778.92,96778.91999999994
46426.07,157693.92,210797.67,96712.8,96712.80000000024
46014.02,85047.44,205517.64,96479.51,96479.50999999982
28663.76,127056.21,201126.82,90708.19,90708.18999999992
44069.95,51283.14,197029.42,89949.14,94943.10806666651
20229.59,65947.93,185265.1,81229.06,81229.06000000004
38558.51,82982.09,174999.3,81005.76,87792.42359999997
28754.33,118546.05,172795.67,78239.91,78239.9100000001
27892.92,84710.77,164470.71,77798.83,77798.83000000006
23640.93,96189.63,148001.11,71498.49,71498.49000000018
15505.73,127382.3,35534.17,69758.98,69758.98000000026
22177.74,154806.14,28334.72,65200.33,65200.33000000006
1000.23,124153.04,1903.93,64926.08,39360.68273333341
1315.46,115816.21,297114.46,49490.75,49490.75
0.0,135426.92,0.0,42559.73,42559.73000000014
542.05,51743.15,0.0,35673.41,33724.31613333336
0.0,116983.8,45173.06,14681.4,14681.39999999996
